user_id,age,gender,Action,Drama,Comedy,Romance,SciFi,Horror,Thriller,Fantasy,Animation,Crime,favorite_movie_id
1,40,0,7,5,10,8,5,10,6,7,6,4,11
2,38,1,10,7,6,7,5,1,8,8,6,8,30
3,36,1,10,7,6,5,7,6,8,7,5,7,14
4,25,1,9,4,6,7,10,10,4,9,9,10,34
5,33,0,8,5,6,8,3,5,8,9,9,3,28
6,40,0,6,8,7,10,5,6,4,8,10,7,11
7,38,0,6,9,5,10,6,7,5,10,6,5,6
8,28,0,8,9,6,10,7,7,4,10,7,8,8
9,18,1,10,3,6,2,5,9,7,9,10,7,1
10,31,1,10,8,7,8,8,8,5,7,9,8,14
11,34,1,8,6,6,5,7,5,9,8,8,8,12
12,23,0,10,6,8,8,3,9,4,5,10,4,11
13,45,0,6,10,6,6,8,7,2,3,10,5,4
14,41,1,8,6,9,7,9,5,7,7,10,9,12
15,65,1,6,8,8,8,8,6,7,7,6,9,30
16,47,0,7,7,6,10,5,6,4,8,9,7,11
17,24,1,10,6,6,7,6,7,4,6,4,9,14
18,18,0,9,3,3,10,5,10,1,9,7,5,11
19,36,0,8,6,6,10,7,8,9,7,9,10,13
20,43,0,7,6,6,10,8,5,10,9,10,3,11
21,50,0,6,8,5,10,6,4,5,6,5,7,8
22,55,0,4,8,6,7,5,6,10,5,9,9,3
23,21,0,9,4,6,10,6,9,6,10,10,3,11
24,28,0,10,5,5,7,8,8,6,10,10,1,11
25,30,0,8,5,8,8,6,9,5,8,10,7,11
26,41,0,8,7,5,10,5,6,6,7,9,5,28
27,29,1,8,1,6,7,6,9,4,10,7,8,1
28,28,1,9,6,8,7,8,7,7,10,7,7,7
29,38,1,9,1,6,6,7,4,6,5,8,7,14
30,34,0,8,8,6,9,3,7,5,8,10,6,25
31,49,1,5,8,4,5,8,10,10,6,5,9,17
32,44,0,8,7,7,10,7,7,2,5,8,7,15
33,28,1,10,9,8,7,7,8,6,7,10,7,30
34,18,1,6,5,5,7,7,8,6,8,10,7,5
35,37,0,6,8,6,8,7,9,5,7,8,3,8
36,34,1,10,5,5,5,8,6,7,7,8,8,10
37,33,0,9,2,6,9,6,9,7,9,8,7,32
38,43,0,8,6,4,7,8,7,7,6,8,5,2
39,18,0,4,4,8,10,4,5,5,8,9,7,11
40,35,1,7,6,7,4,9,9,6,6,7,6,22
41,53,0,9,4,4,6,3,4,6,6,5,5,11
42,36,0,7,10,6,10,6,5,6,9,10,5,8
43,28,0,10,7,8,10,7,6,6,5,7,6,13
44,33,1,8,4,6,7,7,9,7,6,8,9,3
45,23,1,10,4,6,7,8,10,6,5,9,6,14
46,48,1,5,5,7,4,9,10,9,6,6,8,27
47,33,1,8,6,4,7,7,7,6,7,8,8,32
48,38,0,10,5,6,8,3,9,4,8,8,7,6
49,55,0,10,7,6,7,1,5,5,8,7,6,15
50,43,0,6,6,7,10,6,8,7,10,9,5,12
51,38,1,10,5,3,6,7,9,9,6,8,9,1
52,34,0,10,5,4,10,7,7,7,6,10,4,15
53,18,0,8,6,6,7,5,10,6,9,9,6,7
54,37,1,7,5,5,8,8,9,3,5,3,8,35
55,39,0,7,8,6,9,6,10,4,7,10,6,18
56,49,1,8,8,3,8,10,1,9,7,7,9,7
57,41,0,8,8,7,9,4,8,6,7,7,5,4
58,38,0,5,6,6,10,7,8,5,6,10,6,8
59,38,0,8,9,6,9,5,8,6,6,6,5,6
60,42,1,9,5,6,5,8,6,9,8,7,6,14
61,21,1,10,7,5,7,5,9,8,5,7,7,14
62,23,0,8,5,9,9,6,7,6,8,10,5,11
63,34,1,10,6,7,5,8,9,6,6,9,7,1
64,31,0,10,8,7,9,3,8,5,3,7,5,15
65,38,0,1,7,5,10,6,6,5,9,10,5,13
66,30,0,9,7,5,9,5,9,4,10,9,3,11
67,44,1,7,6,6,6,8,7,6,5,6,8,30
68,24,1,10,10,8,9,10,7,7,4,8,8,30
69,24,1,10,8,6,5,10,10,4,7,10,5,1
70,47,0,5,8,6,10,5,4,6,7,8,8,11
71,35,0,8,6,5,10,8,6,9,4,10,5,10
72,45,0,5,7,5,10,7,7,6,9,8,7,11
73,19,1,10,5,4,6,8,8,3,7,6,8,34
74,41,0,4,6,7,9,7,8,10,8,4,6,33
75,46,0,5,8,7,9,4,7,6,5,8,8,13
76,20,1,9,5,6,4,9,6,5,6,9,7,30
77,18,1,8,4,8,7,8,10,7,6,8,5,3
78,39,1,8,4,6,6,8,8,7,7,9,10,1
79,33,1,9,4,4,6,10,8,6,9,7,7,14
80,56,0,6,7,6,9,2,5,6,4,8,10,8
81,55,1,8,9,6,4,7,8,4,5,5,10,3
82,50,1,8,4,7,6,9,8,3,5,6,7,5
83,39,1,8,3,5,3,8,8,7,6,9,10,14
84,43,1,10,6,6,6,9,9,10,8,6,7,5
85,28,1,7,3,6,6,7,9,4,7,9,8,14
86,28,1,10,6,7,10,9,9,5,6,6,8,3
87,49,0,6,8,5,10,5,8,6,5,10,8,2
88,22,0,9,5,5,10,5,10,7,8,10,6,11
89,51,0,5,6,4,9,4,7,3,9,9,8,6
90,35,0,7,4,9,10,9,7,6,10,10,5,20
91,18,0,7,5,6,10,9,6,4,6,7,6,2
92,21,1,10,5,6,10,7,8,8,10,10,5,1
93,46,0,7,7,10,10,6,8,8,6,6,8,8
94,30,1,8,6,3,6,6,9,6,7,8,9,10
95,43,1,10,7,6,4,10,7,5,4,8,10,1
96,41,0,8,8,7,9,5,5,5,6,9,5,2
97,39,0,8,10,7,7,4,5,5,8,5,5,31
98,24,1,3,6,8,6,10,6,5,6,6,8,14
99,55,0,5,7,6,9,7,7,6,6,9,6,6
100,27,1,10,6,3,8,8,9,6,10,9,9,14
101,44,0,6,8,7,8,3,7,5,7,8,7,8
102,19,1,10,3,6,7,6,10,3,7,7,9,1
103,55,0,7,3,6,8,6,6,6,10,8,7,11
104,42,1,8,6,4,6,5,8,6,7,5,6,32
105,42,1,10,6,7,5,8,10,3,6,8,10,3
106,49,0,7,4,7,9,5,6,3,8,8,7,20
107,22,0,7,6,8,10,8,9,7,8,10,8,11
108,23,1,10,6,9,6,1,9,6,7,6,10,1
109,55,1,7,5,7,5,9,7,8,6,6,8,1
110,19,0,6,6,10,7,4,8,4,6,10,4,11
111,22,0,8,6,7,9,5,9,8,8,7,5,28
112,32,0,6,8,6,8,6,9,9,8,7,4,11
113,35,1,8,6,8,5,7,8,5,4,6,10,1
114,32,1,8,4,9,8,9,8,4,7,9,9,34
115,45,1,10,4,7,3,9,8,7,4,8,8,32
116,28,0,9,8,7,10,6,9,7,6,8,5,13
117,57,0,7,10,5,10,6,5,3,5,7,9,15
118,45,1,8,7,6,5,8,5,4,6,10,6,7
119,40,0,8,7,7,9,7,5,5,8,10,7,15
120,36,1,9,8,5,6,10,7,7,7,7,7,14
121,53,1,5,6,1,5,9,7,6,6,6,9,30
122,26,0,10,7,8,10,3,7,2,7,7,9,15
123,29,0,9,6,4,10,6,6,6,6,8,6,8
124,25,1,7,4,4,9,8,10,5,8,7,4,30
125,18,0,6,7,8,10,3,7,1,7,10,8,11
126,24,1,8,7,5,4,10,4,4,5,8,10,1
127,49,1,10,9,5,6,8,5,8,8,5,7,5
128,27,1,10,1,7,7,10,7,5,1,9,8,32
129,37,0,9,6,4,8,6,5,5,10,8,3,8
130,21,1,9,1,8,7,5,10,5,5,7,10,14
131,18,1,7,6,6,9,9,6,9,8,10,9,1
132,22,1,10,6,6,9,5,6,7,4,9,7,32
133,51,0,7,6,5,10,6,7,8,7,9,1,4
134,18,0,9,5,6,9,7,4,7,8,10,5,20
135,45,0,8,10,7,9,7,6,7,6,10,7,23
136,18,1,10,5,6,6,7,8,3,7,8,9,7
137,20,0,6,4,5,10,3,9,5,7,10,5,11
138,30,0,9,6,6,9,5,7,1,3,10,3,15
139,24,0,5,6,8,9,4,9,4,7,8,3,28
140,26,1,7,7,4,9,9,9,5,7,9,9,24
141,30,0,7,7,6,10,3,6,4,9,10,4,6
142,42,0,5,7,5,8,7,7,8,8,9,7,28
143,51,0,7,8,6,8,5,4,6,8,6,6,8
144,24,0,10,6,5,9,6,7,6,10,10,6,11
145,44,0,6,8,4,8,6,9,8,5,5,7,24
146,49,1,7,6,4,6,7,5,8,6,6,9,3
147,52,1,7,8,10,7,10,4,8,5,7,7,30
148,26,0,10,6,6,9,6,7,6,9,9,5,13
149,18,1,9,4,6,5,10,8,5,8,8,6,34
150,18,0,6,7,4,10,8,8,3,6,8,6,6
151,51,0,6,6,4,10,3,7,7,7,8,6,8
152,18,1,10,6,6,3,7,10,7,7,9,8,30
153,23,0,6,8,9,9,5,8,7,6,10,5,4
154,20,1,10,4,8,8,8,10,6,7,10,6,1
155,42,0,7,7,2,10,6,6,5,5,8,7,31
156,18,0,7,7,5,10,5,7,4,9,10,6,11
157,32,0,7,6,7,10,10,5,8,8,9,5,34
158,40,0,8,6,8,7,6,6,5,10,9,1,11
159,50,1,7,8,5,3,9,6,6,6,6,7,7
160,50,0,5,8,5,7,1,4,6,4,8,6,16
161,39,0,4,6,5,10,7,4,4,9,6,4,11
162,57,0,4,7,5,8,5,8,5,7,8,6,11
163,26,0,9,7,10,10,5,7,4,5,8,2,4
164,52,1,9,5,5,7,8,9,8,7,6,10,16
165,42,1,10,8,10,5,5,8,7,8,9,7,7
166,61,0,7,7,7,10,6,10,9,7,7,6,8
167,35,0,4,4,9,10,6,7,3,7,10,5,4
168,22,0,6,5,7,10,4,8,7,7,10,4,11
169,42,1,7,10,5,6,8,7,8,6,9,3,7
170,18,0,9,7,5,10,4,7,5,8,10,4,11
171,33,1,8,6,6,5,6,7,6,8,5,10,10
172,39,0,9,4,8,9,7,4,8,5,8,4,2
173,35,1,7,5,10,6,10,10,7,6,6,9,1
174,18,0,9,8,7,10,5,7,4,6,10,7,13
175,22,0,9,7,6,10,2,8,6,8,10,10,11
176,39,0,4,6,4,9,9,6,5,9,6,6,16
177,36,1,9,6,5,4,7,8,7,6,5,5,30
178,38,1,8,8,7,5,9,7,9,6,5,8,1
179,26,1,10,5,7,5,10,10,1,6,7,8,18
180,35,0,10,9,7,10,4,8,6,2,7,6,2
181,31,0,8,7,6,6,7,8,7,6,9,10,25
182,18,1,9,7,7,6,6,7,5,9,8,9,34
183,42,0,6,7,8,7,6,7,7,8,8,6,11
184,48,1,9,7,5,6,8,6,7,10,9,9,14
185,42,0,6,6,7,9,8,6,7,5,9,10,4
186,26,1,10,7,7,5,6,9,6,6,9,8,14
187,18,0,8,3,8,10,5,9,5,5,10,2,20
188,41,1,9,8,6,6,9,8,7,6,7,7,7
189,33,1,9,4,5,7,7,10,6,6,5,6,7
190,46,1,10,6,8,7,10,6,8,7,6,8,10
191,18,0,7,5,5,10,7,10,4,8,10,6,11
192,30,1,8,3,3,10,9,8,7,8,8,8,7
193,21,0,8,6,7,10,5,8,5,6,9,8,28
194,25,0,9,6,8,10,2,9,3,5,7,7,4
195,53,1,8,7,7,4,8,7,6,2,4,10,3
196,45,0,4,6,8,10,7,8,6,8,10,6,15
197,42,0,7,7,6,10,5,5,6,8,10,10,4
198,27,0,6,9,7,10,6,9,5,7,8,7,11
199,34,0,7,4,10,10,4,9,3,8,9,4,4
200,35,1,10,7,8,5,10,6,7,5,7,8,1
201,41,1,8,9,8,5,8,6,6,5,10,7,3
202,46,1,7,7,7,7,7,5,7,8,8,8,32
203,43,0,8,6,9,9,5,6,4,6,8,6,10
204,35,1,7,6,6,6,6,8,9,7,7,10,27
205,41,0,5,9,6,8,4,6,6,8,7,7,6
206,18,0,7,7,7,7,6,5,8,9,8,6,11
207,33,1,10,5,5,4,7,6,5,10,9,7,14
208,20,1,8,4,7,8,9,8,4,6,9,5,34
209,18,1,10,5,6,7,8,7,5,8,9,10,14
210,33,1,10,6,6,8,10,9,5,6,7,9,17
211,57,1,5,10,6,5,6,10,6,5,6,8,3
212,29,1,10,6,7,8,5,8,3,9,6,6,25
213,54,0,6,10,6,9,6,4,7,7,7,5,6
214,57,0,5,8,8,10,7,7,4,5,8,10,22
215,50,0,6,7,5,9,5,7,7,7,10,6,8
216,36,1,8,6,6,7,9,6,8,7,7,9,7
217,45,0,5,8,5,7,6,8,4,7,8,5,11
218,47,0,7,6,5,10,5,6,6,7,8,6,6
219,35,0,7,8,4,7,6,8,6,8,10,5,4
220,27,1,9,9,6,6,6,7,7,7,10,7,32
221,31,0,7,8,7,10,3,7,4,8,7,6,11
222,40,1,10,5,6,7,8,6,7,7,5,6,32
223,35,1,9,7,6,6,10,8,7,9,5,9,14
224,51,0,6,9,8,8,4,10,8,7,9,6,4
225,41,1,6,7,8,6,8,5,4,6,8,8,14
226,18,1,8,4,7,8,10,10,6,7,10,8,1
227,35,1,10,9,6,4,10,9,9,7,7,7,32
228,47,1,8,6,5,5,7,8,6,5,8,8,10
229,35,1,10,3,6,6,9,7,10,8,7,8,14
230,32,1,5,7,7,6,7,9,5,8,7,8,4
231,54,1,8,8,5,7,7,6,7,7,6,10,3
232,32,0,7,6,6,9,4,8,7,7,9,6,8
233,39,0,5,7,5,8,4,7,5,7,9,9,10
234,18,1,8,3,4,7,8,10,5,6,7,10,30
235,30,0,8,5,6,10,1,7,4,5,10,7,15
236,18,1,10,7,4,8,6,9,4,7,8,7,7
237,54,0,7,8,7,6,6,6,5,6,4,8,12
238,38,1,7,5,3,5,9,7,8,8,8,8,30
239,49,1,9,6,6,6,7,8,10,9,2,9,1
240,28,0,10,7,6,10,5,7,5,7,10,5,23
241,50,0,2,9,7,10,4,4,7,7,5,7,2
242,19,0,7,6,7,10,4,7,6,9,10,5,11
243,37,1,10,5,5,2,10,4,6,7,7,8,14
244,27,1,10,3,7,6,9,8,10,10,5,7,14
245,18,1,10,6,8,6,9,7,7,7,7,5,32
246,40,1,10,7,5,6,10,7,6,4,5,7,1
247,32,0,6,8,8,10,3,6,5,7,10,6,8
248,44,1,9,6,7,6,9,7,8,6,5,8,14
249,44,1,9,6,6,5,10,7,8,8,7,10,30
250,45,1,10,6,5,4,7,7,7,6,7,7,7
251,26,0,7,9,7,9,4,7,1,10,10,4,15
252,47,1,9,6,5,4,9,8,8,6,7,8,14
253,44,1,5,7,5,4,8,5,4,5,9,10,2
254,19,1,9,5,7,5,5,7,6,8,7,8,30
255,24,1,9,2,5,8,10,9,5,9,7,9,1
256,21,0,6,7,6,9,4,10,7,5,9,5,11
257,31,0,6,5,7,10,4,6,6,5,9,7,2
258,36,1,10,5,6,7,8,7,8,9,7,7,7
259,30,1,9,5,4,5,9,10,8,6,8,3,30
260,28,1,10,3,6,6,9,8,6,6,4,10,10
261,20,0,9,5,9,10,6,7,8,8,10,6,11
262,36,1,9,6,5,4,8,7,7,6,8,8,10
263,18,0,8,6,4,9,4,10,5,8,9,5,11
264,35,1,7,5,6,4,10,7,5,5,7,10,12
265,55,0,7,9,5,8,7,4,8,7,10,9,29
266,33,1,8,7,9,3,9,5,7,6,10,9,30
267,42,0,6,8,6,10,2,8,5,3,8,6,4
268,23,1,9,8,5,6,8,9,9,8,9,9,1
269,35,0,10,8,7,10,5,5,3,5,8,8,22
270,47,0,9,6,8,10,4,4,6,5,9,4,13
271,46,0,6,7,6,10,5,7,6,6,9,4,11
272,33,0,6,5,5,10,3,8,4,6,10,7,15
273,25,1,7,7,9,7,8,8,4,4,7,7,7
274,43,0,4,5,7,6,6,4,7,7,7,6,11
275,31,0,7,7,7,10,3,4,7,9,10,10,29
276,27,1,10,8,6,8,9,9,7,7,8,10,22
277,30,0,9,8,4,10,8,7,6,8,9,5,2
278,43,0,3,8,7,8,6,6,6,6,8,7,4
279,28,1,10,10,6,6,10,6,8,8,7,8,5
280,27,0,8,3,6,10,5,9,4,7,10,4,15
281,35,0,6,5,8,10,7,10,7,8,7,6,8
282,36,0,7,10,6,10,6,8,6,6,10,6,2
283,26,1,8,4,5,10,7,8,7,8,5,6,33
284,36,1,8,6,6,6,9,10,4,4,9,10,3
285,33,0,9,7,6,10,6,10,7,8,10,6,2
286,25,1,9,8,6,4,8,8,6,5,8,8,7
287,44,1,10,6,3,7,10,8,9,4,6,10,10
288,58,1,8,5,6,8,10,4,9,2,6,9,3
289,46,0,4,6,6,9,6,5,7,8,8,7,25
290,37,1,10,5,6,4,8,9,8,6,7,9,32
291,36,1,9,6,6,6,8,7,7,10,8,9,10
292,41,1,9,4,8,5,7,6,8,5,3,8,10
293,31,1,10,5,7,4,9,9,6,8,7,8,10
294,51,0,5,9,5,10,5,7,10,7,10,7,4
295,36,1,6,4,6,5,7,4,5,9,7,8,1
296,18,0,7,5,6,10,6,8,7,6,10,6,31
297,23,0,9,4,6,7,4,7,4,8,10,2,11
298,23,0,8,6,7,10,9,8,6,7,9,4,11
299,28,1,8,4,7,7,10,6,8,4,6,6,26
300,37,1,10,7,5,5,9,10,8,6,6,10,12
